No,Author,Date,Rating,Review,,
1,Gigi john,Reviewed in India on 25 March 2024,5,"I bought this i5 11400f in 2023 and still it does its job with no sweat. Well my purpose is editing in premier pro and gaming @1080p resolution. Paired with rtx 3060, its a beast at 1080p. Played competitive games and high graphics intense games like forza horizon 5 etc etc... Does its job fine. A common statement is intel processor's heat better than amd processors, well it is true. It heats very well, stock cooler not enough, my pc even shut downed 3 times when playing high end games used with stock cooler. A decent air cooler is enough to calm down this one, it is not unlocked in fact, so no explanation needed i guess. If u are gonna build a new pc build in 2024 or onwards , please consider 12th gen atleast because u can have great future upgradability chance. When said all these, i took this over 12400f because i felt this enough for my needs and it didn't disappointed me. When considering it is just an i5 i got flabbergasted by its performance fr. Many people say 11th gen is bad but i felt it as worthy for the money i spent and im not gonna do upgrades in future so... Yeah overall it is a good product and im happy with it??. Once again, don't even consider any of 11th gen processors if u are gonna pc build in 2024 and future because 13th gen and 12 th gen is way more future proof that this 11th gen. So yeah that's it.",,
2,Lawrence,Reviewed in India on 1 November 2023,5,Good,,
3,Vijendra kumar meena,Reviewed in India on 8 October 2023,5,"{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY"",""productId"":"""",""eventOwner"":""vsemetrics_playercards"",""schemaId"":""clickstream.CustomerEvent.4"",""producerId"":""vsemetrics_playercards"",""eventType"":""IVEVideoView""},""clientPrefix"":""vse_reviews_desktop_r2bo1ws0mf2jd8_1720198462560"",""closedCaptionsConfig"":{""captionsOnTexts"":{""en"":""English (Automated)""},""captionsOffText"":""Captions off"",""languageToLabelTexts"":{""English"":""English""}},""sushiMetricsConfig"":{""isRobot"":false,""clientId"":""VSE-IN"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""sessionId"":""259-3637751-8782638"",""refMarkers"":""vse_reviews_desktop_R2BO1WS0MF2JD8_1720198462560_ref"",""placementContext"":""cr_inline_review"",""marketplaceId"":""A21TJRUUN4KGV"",""isInternal"":false,""endpoint"":""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""SB4N3W1XP6Z971H9RXXW"",""customerId"":""0"",""sessionType"":1},""mimeType"":""application/x-mpegURL"",""nexusMetricsConfig"":{""isInternal"":false,""widgetMetricsSchemaId"":""vse.VSECardsEvents.8"",""clientId"":""VSE-IN"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""videoAsin"":""R2BO1WS0MF2JD8"",""producerId"":""vsemetrics_playercards"",""refMarkers"":""vse_reviews_desktop_R2BO1WS0MF2JD8_1720198462560_ref"",""placementContext"":""cr_inline_review"",""playerTSMMetricsSchemaId"":""vse.VSECardsPlayerEvents.7""},""videoHeight"":0,""videoWidth"":0,""videoUrl"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/72658f55-320e-496d-a8d2-0e5d13661bc6/default.vertical.jobtemplate.hls.m3u8"",""metricsEmissionMethod"":""nexus"",""imageUrl"":""https://m.media-amazon.com/images/I/51WI3mgOM7L._SY256._SY256.jpg"",""awaConfig"":{""useUpNextComponent"":false,""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY"",""productId"":"""",""eventOwner"":""vsemetrics_playercards"",""schemaId"":""clickstream.CustomerEvent.4"",""producerId"":""vsemetrics_playercards"",""eventType"":""IVEVideoView""},""initialVideo"":""R2BO1WS0MF2JD8"",""shouldPreload"":true,""enableClickBasedAttribution"":false,""isChromelessPlayer"":false,""closedCaptionsConfig"":{""captionsOnTexts"":{""en"":""English (Automated)""},""captionsOffText"":""Captions off"",""languageToLabelTexts"":{""English"":""English""}},""isVideoImmersivePlayer"":false,""metricsEmissionMethod"":""nexus"",""skipInitialFocus"":false,""playerSkin"":""none"",""disabledViewIds"":[""replayHint""],""includeEarnsComissionDisclosure"":false,""customerId"":""0"",""containerId"":""vse_reviews_desktop_r2bo1ws0mf2jd8_1720198462560-player-03db000f-32ec-4575-a623-4652adee6f98"",""requestMetadata"":{""marketplaceId"":""A21TJRUUN4KGV"",""clientId"":""VSE-IN"",""method"":""cr_inline_review"",""requestId"":""SB4N3W1XP6Z971H9RXXW"",""pageAsin"":"""",""sessionId"":""259-3637751-8782638""},""shouldLoop"":false,""shouldDisableControls"":false,""alwaysSetInitialVideo"":true,""showPlayerCloseButton"":false,""clientPrefix"":"""",""useAutoplayFallback"":false,""sushiMetricsConfig"":{""isRobot"":false,""clientId"":""VSE-IN"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""sessionId"":""259-3637751-8782638"",""refMarkers"":""vse_reviews_desktop_R2BO1WS0MF2JD8_1720198462560_ref"",""placementContext"":""cr_inline_review"",""marketplaceId"":""A21TJRUUN4KGV"",""isInternal"":false,""endpoint"":""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""SB4N3W1XP6Z971H9RXXW"",""customerId"":""0"",""sessionType"":1},""ospLinkCode"":"""",""showPosterImage"":true,""languageCode"":""en"",""version"":"""",""nexusMetricsConfig"":{""isInternal"":false,""widgetMetricsSchemaId"":""vse.VSECardsEvents.8"",""clientId"":""VSE-IN"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""videoAsin"":""R2BO1WS0MF2JD8"",""producerId"":""vsemetrics_playercards"",""refMarkers"":""vse_reviews_desktop_R2BO1WS0MF2JD8_1720198462560_ref"",""placementContext"":""cr_inline_review"",""playerTSMMetricsSchemaId"":""vse.VSECardsPlayerEvents.7""},""shouldStartMuted"":false,""airyVersion"":""VideoJS"",""languagePreferenceStrings"":{},""enableInactiveFocus"":true,""isReactFactory"":false,""enableDelphiAttribution"":false,""includeReportWidget"":false,""shouldAutoplay"":false},""needPlayerFactory"":false,""isMobile"":false}Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:00Loaded: 0%0:00Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:00 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionscaptions off, selectedAudio TrackFullscreenThis is a modal window.HLS playlist request error at URL: https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/72658f55-320e-496d-a8d2-0e5d13661bc6/default.vertical.jobtemplate.hls.m3u8.Some time my cpu is hang",,
4,Milton,Reviewed in India on 29 July 2023,5,Compatible with Intel 500 series & select Intel 400 series chipset based motherboardsIntel Optane Memory SupportThermal solution includedPCIe Gen 4.0 Support,,
5,Gaming zone,Reviewed in India on 6 May 2023,5,I am very happy...like temparature...like perfomance...and naver heat..,,
6,Surender suthar,Reviewed in India on 19 November 2022,5,"{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY"",""productId"":"""",""eventOwner"":""vsemetrics_playercards"",""schemaId"":""clickstream.CustomerEvent.4"",""producerId"":""vsemetrics_playercards"",""eventType"":""IVEVideoView""},""clientPrefix"":""vse_reviews_desktop_r23qdeijew7vdz_1720198462562"",""closedCaptionsConfig"":{""captionsOnTexts"":{""en"":""English (Automated)""},""captionsOffText"":""Captions off"",""languageToLabelTexts"":{""English"":""English""}},""sushiMetricsConfig"":{""isRobot"":false,""clientId"":""VSE-IN"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""sessionId"":""259-3637751-8782638"",""refMarkers"":""vse_reviews_desktop_R23QDEIJEW7VDZ_1720198462562_ref"",""placementContext"":""cr_inline_review"",""marketplaceId"":""A21TJRUUN4KGV"",""isInternal"":false,""endpoint"":""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""AVSBK51C32RH88Z4AB6Y"",""customerId"":""0"",""sessionType"":1},""mimeType"":""application/x-mpegURL"",""nexusMetricsConfig"":{""isInternal"":false,""widgetMetricsSchemaId"":""vse.VSECardsEvents.8"",""clientId"":""VSE-IN"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""videoAsin"":""R23QDEIJEW7VDZ"",""producerId"":""vsemetrics_playercards"",""refMarkers"":""vse_reviews_desktop_R23QDEIJEW7VDZ_1720198462562_ref"",""placementContext"":""cr_inline_review"",""playerTSMMetricsSchemaId"":""vse.VSECardsPlayerEvents.7""},""videoHeight"":0,""videoWidth"":0,""initialClosedCaptions"":""en,https://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/e0f7fdf7-18ca-4e08-9c19-75e9ccaeb033.vtt"",""videoUrl"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/de0ba494-2361-4139-812a-a8b1928ce00f/default.jobtemplate.hls.m3u8"",""metricsEmissionMethod"":""nexus"",""imageUrl"":""https://m.media-amazon.com/images/I/51aiVA3gRFL._SY256._SY256.jpg"",""awaConfig"":{""useUpNextComponent"":false,""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY"",""productId"":"""",""eventOwner"":""vsemetrics_playercards"",""schemaId"":""clickstream.CustomerEvent.4"",""producerId"":""vsemetrics_playercards"",""eventType"":""IVEVideoView""},""initialVideo"":""R23QDEIJEW7VDZ"",""shouldPreload"":true,""enableClickBasedAttribution"":false,""isChromelessPlayer"":false,""closedCaptionsConfig"":{""captionsOnTexts"":{""en"":""English (Automated)""},""captionsOffText"":""Captions off"",""languageToLabelTexts"":{""English"":""English""}},""isVideoImmersivePlayer"":false,""metricsEmissionMethod"":""nexus"",""skipInitialFocus"":false,""playerSkin"":""none"",""disabledViewIds"":[""replayHint""],""includeEarnsComissionDisclosure"":false,""customerId"":""0"",""containerId"":""vse_reviews_desktop_r23qdeijew7vdz_1720198462562-player-27b3fdae-6a6a-4b07-8a34-cdd2a2ca488d"",""requestMetadata"":{""marketplaceId"":""A21TJRUUN4KGV"",""clientId"":""VSE-IN"",""method"":""cr_inline_review"",""requestId"":""AVSBK51C32RH88Z4AB6Y"",""pageAsin"":"""",""sessionId"":""259-3637751-8782638""},""shouldLoop"":false,""shouldDisableControls"":false,""alwaysSetInitialVideo"":true,""showPlayerCloseButton"":false,""clientPrefix"":"""",""useAutoplayFallback"":false,""sushiMetricsConfig"":{""isRobot"":false,""clientId"":""VSE-IN"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""sessionId"":""259-3637751-8782638"",""refMarkers"":""vse_reviews_desktop_R23QDEIJEW7VDZ_1720198462562_ref"",""placementContext"":""cr_inline_review"",""marketplaceId"":""A21TJRUUN4KGV"",""isInternal"":false,""endpoint"":""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""AVSBK51C32RH88Z4AB6Y"",""customerId"":""0"",""sessionType"":1},""ospLinkCode"":"""",""showPosterImage"":true,""languageCode"":""en"",""version"":"""",""nexusMetricsConfig"":{""isInternal"":false,""widgetMetricsSchemaId"":""vse.VSECardsEvents.8"",""clientId"":""VSE-IN"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""videoAsin"":""R23QDEIJEW7VDZ"",""producerId"":""vsemetrics_playercards"",""refMarkers"":""vse_reviews_desktop_R23QDEIJEW7VDZ_1720198462562_ref"",""placementContext"":""cr_inline_review"",""playerTSMMetricsSchemaId"":""vse.VSECardsPlayerEvents.7""},""shouldStartMuted"":false,""airyVersion"":""VideoJS"",""languagePreferenceStrings"":{},""enableInactiveFocus"":true,""isReactFactory"":false,""enableDelphiAttribution"":false,""includeReportWidget"":false,""shouldAutoplay"":false},""needPlayerFactory"":false,""isMobile"":false}Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:00Loaded: 0%0:00Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:00 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionscaptions off, selectedAudio TrackFullscreenThis is a modal window.The media could not be loaded, either because the server or network failed or because the format is not supported.This Processor in window 11 Smoothly runNormal gamming & ragular usese best processor",,
7,Sathya PS,Reviewed in India on 3 April 2022,5,Best Processor at this price and will exceed your expectations,,
8,BILAL SHAIK,Reviewed in India on 21 January 2022,5,Value for money,,
9,Surendra,Reviewed in India on 8 December 2021,5,[object Object],,
10,KISHORE Connection,Reviewed in India on 3 January 2022,5,INTEL i5 11400F 11th Generation ProcessorF -WithoutIntegrated GraphicsPrice on 01/01/2022 ?15948.MOTHER BOARD Socket LGA1200Required 3200 Mhz DDR4 RAM,,
11,todd,Reviewed in the United States on 23 November 2023,5,"OMG... this is the first intel CPU i have bought and tried in almost 10 years. For having 6 cores it surprised me how well it performs on FPS games, does better than many 8 Core CPUs . This i5-11400f seems very snappy with Decent frame rates at 1080p and 1440. Maybe a perfect match for an Nvidia 3060 gpu or Radeon 6700 gpu or Maybe an Intel Arc A750 gpu. This CPU is not Top Teir Cutting edge but if you arebuilding an entry level 1080p Gaming pc like i was or maybe a mid tier 1440p gaming setup and limited on funds this Cpu could be a nice Option.",,
12,Maher,Reviewed in Saudi Arabia on 29 June 2024,5,"?",,
13,Edward Ferguson,Reviewed in Mexico on 27 June 2023,5,Trabaja muy bien cualquier tipo de tarea desde edición de videos e imágenes hasta jugar cualquier tipo de video juego además por el precio lo recomiendo mucho!!! ???,,
14,Burus Turgut,Reviewed in Germany on 3 March 2024,5,Sehr gutes Preis Leistungungsverhältnis,,
15,tom,Reviewed in Japan on 21 April 2023,5,?????????,,
16,Mr. Yap,Reviewed in Singapore on 21 June 2023,5,"Wanted to upgrade my old 6-year old build. Salvaged most parts and put in this Core i5-11400F processor, reasonably priced at <$200.Everything works/booted fine, no issues- you will need your own graphics card (salvaged mine) for better resolution and a fan cooler (again salvaged); intel coolers are not the best.All in all a good processor for office work (not for gaming - get an Core i7 for that).",,
17,Fabian,Reviewed in Germany on 13 July 2023,5,Sehr guter cpu für nen arbeits pc aber auch sein sehr guter gaming cpu keine frage,,
18,Omar Armas,Reviewed in Mexico on 2 August 2023,5,"Llegó al día siguiente y funciona como es esperado a un buen precio. Es la versión F, así que no soporta gráfico integrado (es normal), se requiere una tarjeta externa para entregar video.",,
19,Chow Kong Ming,Reviewed in Singapore on 25 February 2022,5,"Noticed that the price of 11400(F) has dropped quite significantly since the launch of Alder Lake. For the price of quality B560M motherboard and the CPU, it is a value choice.",,
20,????????,Reviewed in Japan on 7 December 2022,5,???CPU?????????????????????????????CPU??????1?????????ASUS??????????????????????Corei3?12?????????????????????????????????????????????????,,
21,BBTACO,Reviewed in the United States on 3 June 2024,5,Easy install and works great. Much faster than a previous tenth generation i3.,,
22,Jorge N,Reviewed in Mexico on 24 January 2024,5,"Supero mis expectativas, se nota la diferencia con un procesador i3, con un tarjeta de video 2060ti los gráficos son muy buenos",,
23,Stephen Trantina,Reviewed in the United States on 2 March 2024,5,Had to upgrade my old gaming computer. Works great with a 2060. Shipping arrived earlier than expected,,
24,Hum,Reviewed in Japan on 7 February 2022,5,GPU????????????CPU????????????????i7-920????????????????????????????????????????????????????????????PC???????GPU?5?????????????????????????????????????????????????????PC?????????????????,,
25,Jeffry perez alcantar,Reviewed in Mexico on 22 July 2023,5,llego todo bien y a tiempo,,
26,Alex,Reviewed in Mexico on 5 February 2023,5,"Un procesador excelente y más que suficiente para tarjetas de video de gama media e incluso algunas de gama alta.Con el procesador tengo una rx 6650 xt y va excelente y hasta sobrado en cualquier juego o programa.Soy editor de video y tengo varias ventanas abiertas al mismo tiempo y varios procesos funcionando en segundo plano y nunca he tenido problemas.Lo único malo es el ventilador de stock, sirve para lo básico, pero se siente de mala calidad.",,
27,J,Reviewed in the United States on 15 May 2024,5,"Initially I thought it was gonna be a bad product and its gonna be broken due to the distance it has to go, but it has worked exceptionally well",,
28,Miyano,Reviewed in Japan on 26 December 2021,5,Good preformance and excellent price,,
29,Luis M.,Reviewed in the United States on 4 June 2024,5,"Rinde muy bien al menos para juegos y tareas básicas, con una buena tarjeta gráfica y refrigeración, es suficiente.",,
30,Amazon?????,Reviewed in Japan on 30 December 2021,5,???????????????????4.2GHz?????????????????????????????????????????????????????????,,
31,Charles Ridley,Reviewed in Mexico on 17 October 2022,5,"Aunque este procesador sea del año pasado, todavía se encuentra en el punto dulce. Para gaming, los i5 superan por mucho a los i3, pero del i5 al i7 es casi lo mismo, repito, esto es en gaming, porque para tareas productivas sí hay más diferencia.De todos modos con este procesador se puede hacer edición de foto y video 4K sin problemas.Elegí este sobre la generación 12 porque un i5 12400f apenas habría dado un 10-15% de mejor rendimiento, pero el precio del procesador y tarjeta madre eran por muchísimo más económicos",,
32,Joel B,Reviewed in the United States on 21 July 2023,5,"For the price, this is a great CPU. Be aware that this chip does not have built in graphics, so you'll need one.This worked perfect for my budget build I did with my son for his first gaming PC. You can't overclock it, but it does max out at 4.4 GHz and the 6 cores makes it work faster than I expected. Paired with a decent GPU and this chip is more than enough for a decent system.",,
33,Michael 1953,Reviewed in the United States on 15 June 2023,5,Built a rig with a mix of new/second hand parts I paired it with an Arc 750 just to see how the ARC ran so far I love this pc and seem to use it more than my i7 with a RTX 3070ti. Only using gen 3 m.2 but 20 seconds to boot is nothing to sneeze at. FPS between it and the i7 are about 10% less I cannot really see a difference in gameplay never have a stutter on Horde night on 7dtd. Very happy with this. I was gonna sell this rig but I can.t seem to part ways with it now.,,
34,Jair,Reviewed in Mexico on 3 September 2023,5,Super recomendable para ensamblar tu pc gama media,,
35,Cliente de Kindle,Reviewed in the United States on 5 April 2024,5,Muy bueno,,
36,Vivian,Reviewed in the United States on 7 March 2024,5,Excelente,,
37,Juan David Vesga,Reviewed in the United States on 1 December 2023,5,"Literalmente, como nuevo, vino en su caja y con su disipador de stock.",,
38,BLD,Reviewed in the United States on 26 October 2023,5,"Built a gaming PC for my grand daughter.Wanted something powerful, yet affordableThis fit the bill.Works great and is typical INTEL quality.",,
