No,Author,Date,Rating,Review,
1,Kunal R Kubavat,Reviewed in India on 6 September 2022,5,Powerful cpu. Best performance overall.,
2,James B,Reviewed in Canada on 10 June 2024,5,Most people would probably buy this CPU for gaming but I decided to throw it in my server since it has lots of cores and Intel's best IGPU.Works brilliantly for the price (189.99CAD)The IGPU works wonders for Plex video transcoding.,
3,Brunildhe,Reviewed in France on 7 November 2023,5,"Processeur avec un tarif assez élevé quand même mais qui fera son boulot pour les années à venir sans broncher. Extrêmement rapide, on regrette quand même qu’au vu du tarif qu’aucun ventirad ne soit vendu avec même pour dépanner.Prix moins cher qu’ailleurs, je recommande",
4,Tony X,Reviewed in Australia on 8 December 2022,5,It is packaged well and it works well,
5,Babak feizipour,Reviewed in Germany on 21 June 2023,5,Best ever,
6,Mindaugas,Reviewed in the United Kingdom on 30 April 2024,5,Very good processor and probably best for price to performance ratio.,
7,torreon49,Reviewed in the United States on 20 December 2023,5,"Nice CPU. This replaces my old 4790K pc, and what an amazing difference and a pleasant surprise performance-wise! It runs cool (64 degrees) during stress tests and gaming, and it is stable to 5.1 GHz. Haven't tried to push it, but have little doubt there is sufficient headroom to OC further. This has turned out to be an outstanding CPU. I recommend this CPU to anyone interested in a low-cost, low-heat, and stable performance.",
8,Ricardo,Reviewed in Brazil on 16 March 2024,5,"O processador é maravilhoso, um verdadeiro monstrinho, bala para jogos e multitarefas, e ao contrário do que dizem é um processador vem frio, estou muito satisfeito!",
9,Raiza Embalzado,Reviewed in Japan on 31 May 2024,5,The media could not be loaded.I was a very good processor...,
10,Saverio Perchinunno,Reviewed in Italy on 17 June 2024,5,"Processore Intel Core i5 12600K 12a generazione con 10 core. Il processore è molto performante di base a 3.6 Gz, e può raggiungere 5Gz in overclok. La velocità di elaborazione è impressionante, se connesso ad una scheda madre adeguata e compatibile con il formato LGA 1700.",
11,WJ,Reviewed in Singapore on 14 March 2023,5,"12600K is faster comparing to my 3900X(same on 3200Mhz, 8GB x4), more snappy when switching charts. Intel graphics driver doesn't support multi monitors well in Windows 10, seems to be okay in Windows 11. it cannot remember monitor relative postion when resume from sleep. no other issues found.",
12,Rafael,Reviewed in Mexico on 29 August 2023,5,"He utilizado el procesador ya de algún tiempo y no he tenido problemas con el, simplemente perfecto",
13,Maxime,Reviewed in Canada on 23 May 2024,5,Bought it to replace my old i7-6700k.Is doing well and helping me reach better performance in games.Haven't had any issues with it so far.,
14,Reinhard Kunikowski,Reviewed in Germany on 4 March 2023,5,CPU läuft super,
