no.,author,date,rating,review
1,Thiago D. L.,Reviewed in Brazil on 27 March 2024,5,"É um excelente processador! Não utilizo ele para tarefas muito pesadas além de jogos, edições de vídeos simples e Photoshop, neste quesito não tenho o que reclamar, atende 100% das minhas demandas."
2,Mikael Däckfors,Reviewed in Sweden on 27 May 2024,5,Går väldigt varm. Rekommenderar bra kylare
3,Tibhor,Reviewed in Spain on 19 May 2024,5,Una bestia parda. Como siempre el precio y lo calentito que se pone
4,Rami alsari,Reviewed in Germany on 29 May 2024,5,Wie erwartet
5,Dave Hammers Tech Garage,Reviewed in Italy on 1 December 2023,5,"👉 Parto dalle CONCLUSIONI: è una CPU davvero notevole, posseggo un paio di 12900k su altre build ma questo 13700k per certi aspetti è più performante. NON sono un giocatore e utilizzo i PC per lavoro. La mia esperienza si rivolge, quindi, a professionisti che lavorano con video, foto, ricostruzioni 3D, editing 3D, fotogrammetrie ecc ecc. Certo, a differenza dei 12900k (su MoBo Asus ProArt Z690-CREATOR WIFI con DeepCool LS720 e Asus ROG STRIX Z690-A GAMING WIFI D4 con ITEK EVOLIQ 240 ARGB entrambi con il frame della Thermalright) che montati senza toccare il Bios non sparano watt assurdi (ma credo dipenda più dal bios che dalla CPU), questo 12700k (su MoBo Asus ProArt b760-CREATOR WIFI con Noctua NH-D15 chromax.black e frame della Thermalright), scalda un po’ di più. Invece, rispetto al 13900k, recensito sempre qui su Amazon, non ho voluto intervenire dal bios anche perché dopo i primi minuti negli stress test, per esempio con cinebench 23, durante i quali il bios spinge sempre al limite il processore (oltre 360 Watt), il tutto si calma. Il boost dura pochi istanti e subito dopo il consumo si attesta sui 253 Watt, di conseguenza anche le temperature si abbassano, tanto che quelle medie dei core difficilmente superano i 90 gradi (nel test da 10 min) ⚖️ Il processore offre prestazioni davvero ottime, tutti i programmi girano lisci come l’olio, grazie anche ai 64 gb di memoria. La suite Adobe, da Photoshop a After Effects, da Illustrator a Premiere Pro, Blender, Cinema 4D e Metashape Pro (ovvero i programmi che maggiormente utilizzo) sono supportati da tanta potenza e non hanno tentennamenti. Anche con diversi applicativi aperti il 13700k lavora alla grande. 🚀 Su Cinebench r23 il punteggio è di 28550 sul singolo render, temperature massime dei core 4, 5 e 7 (i più bollenti) di 100° mentre nel test throttling di 10 min il punteggio è stato di 27497 con temperature massime rispettivamente di 100° per il core 3, 5 e 7c. Una differenza di solo il 3,69 % tra il singolo render e il test throttling. Niente male! Nel test throttling di 10 min, i valori massimi dei singoli core variano tra i 93° ed i 100°, mentre quelli medi tra 83°-85°, quindi più che accettabili. I consumi massimi sono di 351 Watt mentre quelli medi 260 Watt. In idle le temperature variano tra i 21° e i 47°. Potete verificare dalle foto 😬. Passiamo ora alle altre info: 🚛 SPEDIZIONE: Perfetta, come tutto il processo di acquisto Amazon. I tempi sono stati rispettati e la confezione era adeguata. 📦 PACCO E CONTENUTO: La confezione, rispetto al più blasonato 13900, è quasi scadente.. La CPU si trova all’interno di una scatolina di cartone protetto dal classico case in plastica. 🪛 INSTALLAZIONE: Molto semplice. La sola accortezza è individuare il piccolo triangolo presente sulla CPU, in basso a sx, e posizionarlo in corrispondenza del triangolo visibile sul supporto di fissaggio del socket presente sulla MoBo. Personalmente, per evitare il fenomeno della flessione che può verificarsi sul socket LGA 1700, ho utilizzando il frame della Thermalright. 🔴 INFO UTILE: Molti consigliano l’utilizzo di un AIO almeno da 240, affidabile e potente. Questa volta, però, ho voluto provare dissipatore ad aria top di gamma e devo dire che offre delle prestazione non indifferenti 👍 PRO: Performance 👎 CONTRO: - 🖥️ LA BUILD MOBO: Asus ProArt B760-CREATOR WIFI CPU: Intel i7 13700k con Thermalright LGA1700-BCF COOLER: Noctua NH-D15 chromax.black RAM: CORSAIR VENGEANCE DDR5 RAM 64GB (2x32GB) 5600MHz CL40 SSD SISTEMA: Crucial P5 Plus 2TB SSD GPU: NVIDIA RTX A4000 16 GB ALIMENTATORE: Corsair RM850e (2023) CASE: Fractal Design North Charcoal Black Tempered Glass Dark"
6,Marcin Szarmach,Reviewed in the United Kingdom on 14 December 2023,5,"The processor is working flawlessly. I am at the testing stage. So far, it's performing well, and the temperatures are reasonable."
7,OTheMoon,Reviewed in France on 22 December 2023,5,"Le 13700K est un processeur alliant gaming et travail, il est utilisé pour ma part en jeux mais aussi en MAO (musique assisté par ordinateur) ou il excelle par ses caractéristiques. Il est polyvalent et offre des performances d'application fantastiques, les charges de travail ne seront pas un soucis pour lui et pourra briller dans des hautes résolutions. En soit le 13700K est un excellent choix pour des performances solides à un prix raisonnable Je recommande"
8,Amazon Customer,Reviewed in the United Kingdom on 15 May 2023,5,This processor is fast and powerfull but very power hungry straight out of the box. undervolt profile would be recommended  if you want more performance at less PD. im good for the next 7- 10 years with this bad boy .
9,MatYou,Reviewed in France on 11 December 2023,5,"un bon processeur qui en a sous le pied! consommation et chauffe mesurées (avec un bon système de refroidissement ) à faible charge , j'attends de le pousser dans ses retranchements avec une CG et du AAA"
10,Ande,Reviewed in Sweden on 10 August 2023,5,Snabb processor.
