no.,author,date,rating,review,value_for_money,speed,heating_issues
1,Adit Shinde,Reviewed in India on 27 September 2021,5,I upgraded from i5 8th gen to i7 11th gen... This is superfast processor... Got 75fps on COD warzone 2k with 1060gtx,10,10,10
2,Raghu112,Reviewed in India on 1 August 2021,5,Working perfectly for gaming,10,10,10
3,Hugo,Reviewed in Brazil on 19 March 2024,5,excelente recomendo,10,10,10
4,massimiliano,Reviewed in Italy on 22 February 2023,5,Articolo arrivato sbagliato fatto il reso tutto ok,10,10,10
5,Steve Hardister,Reviewed in the United States on 18 December 2023,5,"Benchmarked paired with an EVGA Geoforce 3080 RTX Ti and score beat other rigs with same GPU but later series i7 and i9 CPUs. Idles in my rig  at between 55° and 60° with air cooling but doesn't go beyond 82° when stress tested. I've read where some people were concerned about it idling at 70° but it's rated to withstand 120°. So, a little warm, but high performing. Definitely worth the sale price of $287 (especially if you're used to spending around $350 for a new CPU.)",10,10,7
6,Sebastian cruz,Reviewed in Mexico on 31 July 2023,5,"Me da el rendimiento deseado, estoy satisfecho. En cuestiones de temperaturas le puse un Corsair H100i Lcd y me lo mantiene entre 26 a 50 grados",10,10,10
7,neko2,Reviewed in Japan on 27 August 2023,5,初期不良もなく正常稼働しております。,10,10,10
8,YG,Reviewed in Singapore on 5 May 2022,5,"Bought this to replace my 10700F. Even thought it's a 125W cpu, it runs cooler than my 10700F on the same motherboard and using the same heatsink. Overall a good buy. And because the price is cheaper than any shopee/lazada/sim lim shop.",10,10,10
9,Allan's Amazon,Reviewed in Canada on 22 June 2022,5,"Blazing fast gaming and workflow, easy to overclock, out performs mid range AMD by miles. Savings of hundreds compared to higher range AMD processors needed to compete. Motherboard choices are slightly more expensive but if you already spend 300 to 500 on a processor, what's another 200 vs 250?? Benchmarks higher than or equivalent to Ryzen 7 and leagues faster than ryzen 5. Sweet spot for CPU demanding games but not enough for the overclocking thread ripping queens though.",10,10,10
10,Richard Collins,Reviewed in the United Kingdom on 24 July 2021,5,This CPU is fast and runs cool. I’m glad I chose this over the more expensive I9 11th gen. i find it barely breaks a sweat when running the latest games and runs mid 40 degrees Celsius with the noctua d-15 air cooler. I did an auto overclock on the ASUS motherboard and increased its speed by 41% so I know there is plenty of headroom for the future.  I didn’t like the presentation as my box had the original Intel label with serial number covered by an Amazon label and not being able to see the batch and serial number was annoying. I managed to peel it off eventually and read my serial number. The seller explained that this was an Amazon label but I think Amazon should choose a different placement. Great chip overall.,10,10,10
11,Nlink,Reviewed in Mexico on 27 September 2023,5,"Que se puede decir, excelentes prestaciones, a buen precio.",10,10,10
12,Bruce Stephenson,Reviewed in the United States on 14 April 2024,5,Used this I7-11700k in my cougar mx331 mesh-x case with msi z590-a pro atx motherboard. Didn't like the price $241.00 very satisfied!,10,10,10
13,Mario Clementi,Reviewed in Italy on 7 January 2022,5,MOLTO VELOCE,0,0,0
14,josmar,Reviewed in Brazil on 13 April 2023,5,"Muito Bom, ate momento superando as expectativas.",10,10,10
15,GS Gamers Madz Pcs,Reviewed in the United Kingdom on 29 May 2022,5,I always use the i7-11700K for my builds as never really had any probs at all so why change stick to what works. The prices would be good to stay at the £280 mark instead of going up by £50 then down again in just 3 days what’s the point of that.,10,10,10
16,ELZZZORRO,Reviewed in Canada on 26 July 2022,5,"My motherboard MAG Z490 TOMAHAWK doesn't support PCIe 4x4 to take fully advantage of my SSD 980 Pro drive M.2 NVMe Interface and GPU 3080. Intel® Core™ i7-11700K  does, therefore was a no brainer to purchase this specific CPU  as MSI updated the motherboard BIOS to support Intel Gen 11.  And as Intel® Core™ i7-11700K  comes with integrated graphics, I use this to my advantage to run certain programs to run from my 3080 GPU and Intel integrated graphics as I do with MSFS 2020. I was concern with the CPU heat but it turns out that runs at 34 normal load with water cooler and 70 when running under heavy stress loads. Very happy and satisficed with this purchase. 100% recommended.",10,10,10
17,Amazon Customer,Reviewed in the United Kingdom on 13 October 2022,5,This Processor is absolutely INSANE!,0,0,0
18,ルキ,Reviewed in Japan on 22 May 2022,5,初期不良も無く、安定して動作してくれてます。,10,10,10
19,Ruben pacheco,Reviewed in the United States on 17 June 2024,5,"Quality of the Package excellent, Amazon platform is precise, arrivals was fast, and product arrived safely. Loved everything about it. On other terms, its unlocked so gaming is going to be blast!  Ease of use is in the instructions. I have an arc angel3.0 so Cooling, and maintaining a good Temperature should be great.",,,
20,Romário,Reviewed in Brazil on 14 January 2023,5,"Em uso, por enquanto funcionando a contento.",10,10,10
21,Adriana,Reviewed in Mexico on 19 June 2023,5,Excelente para jugar o realizar trabajos de diseño,10,10,10
22,kevin herkendaal,Reviewed in Canada on 16 May 2024,5,Replaced a Core i5 with this. Made Cadworkx and BricsCad respond much faster.,10,10,10
23,Rafael,Reviewed in Brazil on 24 February 2023,5,Top,,,
24,Phillip Stogsdill,Reviewed in the United States on 27 January 2024,5,"I decided to upgrade my motherboard with this 11th Generation i7 11700K CPU from a i7 10700KF to bump overall performance as well as the Gen 4 nvme m.2 SSD support. It took less time than I thought to remove the AIO water cooling, swap out the 32GB of DDR4 for 64GB as well as installing the 2TB Gen 4 SSD. I reassembled all of the disconnected components and powered back up into the BIOS. Everything was recognized and playing nicely. Performed a Clean OS install and am quite pleased with the outcome. I would definitely recommend for those that have a motherboard with an upgrade path. I think you will be happy you did.",10,10,10
