no.,author,date,rating,review
1,Thomas Lepschies,Reviewed in Germany on 18 June 2023,1,"Erstmal muss ich sagen das die Lieferung echt fix ging, Termin war für die darauffolgende Woche Mittwoch angedacht, aber das Päckchen kam schon Freitag. Ich dachte mir nur, geil alle Teile zusammen und es kann ans zusammenbauen gehen. Also fing ich an das Mainboard auszupacken , alles schön zurecht gelegt und wollte dann die CPU auspacken, wunderte mich das die Verpackung schon auf war, 🤔 dachte ich, aber egal, weiter geht's. Ich machte die Verpackung wo jetzt die CPU drin sein sollte auf und sah einen Hauch von Nichts 😳 toll, dachte ich, 630€ weg. Denke mal das sich da jemand im Amazon Lager wie im Selbstbedienungsladen gefühlt hat. Gleich Amazon angerufen und keine 10 min später kam die Mail das der Betrag erstattet wird. Alles sehr komisch und ärgerlich,  aber am Ende doch für micht noch gut ausgegangen . Hab jetzt nochmal bei einem anderen Anbieter bestellt und hoffe das es da nicht wieder eine böse Überraschung gibt."
2,Mohammad Attaran,Reviewed in the United Kingdom on 6 May 2023,1,After 3 months it appeared that my processor is faulty. I discussed the issue with Intel support and they happily agreed to replace it with a new one. But I still had to discuss this with the reseller. They have a very bad support and hardly answer my messages time to time with short sentences.
3,Maria Kwan,Reviewed in the United Kingdom on 24 April 2023,1,Don’t buy from this seller.  This company sells faulty products.  The courier charge to return the faulty product to USA is very expensive!!
4,Zev,Reviewed in the United States on 2 July 2023,1,"It worked fine for 6 months, then i start running into Error Code 0xC0000005 with lots of various applications in Windows 11.  I figure it was after an update and they turned on some security thing, and I dissabled all the security stuff and still running into issues.  I reset the OS, still issues, I do a fresh clean install, still issues.  I try replacing the memory, still issues.  I try installing win 11 with a different boot installer, still issues.  I try windows 10.... still issues.  I try reinstalling it 2 more times, still the same issue. I decide to go to Micro Center to have them diagnose the issue, while i am there, their windows 10 install crashes with the same error code.  They take it in, and in 2 days message me saying its the CPU.  They tried the CPU in a different motherboard and the issue still shows up.  So, i go and pick up the machine. I try to file a warrenty claim with Intel, but their login system was broken for a week, so I had to chat with a support person.  We spend 1 hour typing about the issue.  I send him screenshots of the CPU itself, the text from Microcenter, the recepit from Amazon, screenshot of the Bios showing all my hardware information, a screenshot of the recepit from microcenter, a screenshot of the error code. I wait a week or so, i can finally log into Intel website, and i dont see a support ticket.  I open up chat again,  i tell them my ticket and they tell me that it wasnt assigned to an email address.  They assign it and forward the support response to me. And the response says, they cant contact Microcenter to confirm it.  And that its not a CPU issue anyways because that code is due to an OS issue. An OS issue.  I ask them to reiterate their point, because if its an OS issue, that means they dont believe me and Microcenter.  I also pointed out again that i have installed Windows 10 and 11 at least 5 times.... and they respond with, i need documentation from Microcenter.  So, they dont believe me and they believe this is an OS issue still. It has been 11 days and they wont move forward unless I send the documentation from Micro Center now. Works great, but hope you never have to file a warrenty claim because its going to take at least a month and thats if your lucky."
5,Manuel Zendejas,Reviewed in Mexico on 15 June 2023,1,"No abrí la caja del procesador hasta que junté todas la piezas para arma la computadora, y me llevé una sorpresa de que no venía el producto, faltaba el procesador. La caja venía con un sello, pero pues resultó ser falso, error mío al no abrir la caja cuando llegó, pasó el periodo de los 30 días y pues ya perdí ese dinero. Solo tengan cuidado a quién le compran."
6,Client d'Amazon,Reviewed in Canada on 14 December 2023,1,i9 13900k tested on  Asus strix z790-e gamig + Windows 11 pro and all drivers and firmware upgraded to latest revision A mon avis ce produit n’est malheureusement pas tester car tellement de jeux ne fonctionne plus avec c processeur moi qui suis fidèle a Intel je suis franchement dégoûté par ce produit. Personne ne semble sans soucier cher intel je vois plein de personne avec le meme problème sans aucune solution avec les problems de jeux et directx12 qui crash sans arrêt ou simplement crash au démarrage. Aucune solution n’as été présente au public le peu de considération de cette compagnie me sidère. Sa fais plus de 30 ans que je suis fidèle a Intel mais vous pouvez deja imaginer quel sera mon prochain processeur et ce ne sera certainement pas un Intel je suis vraiment dégoûté par le prix payer et son inefficacité a jouer mes jeux qui eux roule 100% sur une clone de ce pc avec i7 10700k. Asus Z490 prime NON ce produit n’est pas recommandé par ma famille et non plus la gen12 tester par mon fils avec les conflit sont similaire.
7,Erik Gerlitz,Reviewed in the United States on 21 April 2024,1,"My first review ever. Intel has finally acknowledged this issue, search ""Regarding Reports of 13th/14th Gen Unlocked Desktop Users Experiencing Stability Issues"" on google. For me, worked great for about a month, then slowly started experiencing stability issues. Games would crash and get an occasional blue screen. After about 6 months, there were noticeable stability issues, with many games unable to boot past main menu, causing blue screen on launch, or experiencing frequent crashes. Friends in separate friend groups would always comment on my computer issues, showing bugs and crashes that have no apparent causes. After a year, my PC can only run super smash brothers melee with stability and even chrome tabs are crashing now. Discord has to be run on chrome because the app crashes every 10 seconds, I can't play any games. I had dedicated tens of hours into investigating only to realize it's been the CPU all along. I also had to upgrade my motherboard to accommodate this CPU and now I have to investigate if this CPU has caused irreparable damage to the motherboard. I expect Intel will be facing heavy financial losses due to influx of warranties as the issues become more and more public. Please look up ""Intel 13th and 14th Gen stability"" for more info, or ""Intel Raptor Lake stability"" on Google for further cases. Unacceptable for a company worth over $100B to push out a product like this."
8,KetchupSoup,Reviewed in the United States on 30 May 2024,1,"I saved up for years to upgrade my PC, which I built from scratch to use for streaming. After a couple of months of using this new chip, I started getting constant game/system crashing whenever playing Destiny 2, or Fortnite. Basically has put my livestreaming/content creation job on hold, because of the constant crashing. Here are my specs... MOBO: ASUS Prime Z790-A WiFi 6E CPU: Intel Core i9-13900K GPU: XFX Speedster MERC310 AMD Radeon RX 7900XT RAM: 128GB Corsair Vengeance DDR5 RAM"
9,T. S.,Reviewed in the United States on 30 October 2023,1,"This I9 chip is very likely guilty of destroying 2 ASUS ROG Maximus Hero Z790 motherboards.  The first motherboard was ordered from Amazon with this chip.  The second was a replacement sent by ASUS for a relatively small fee compared to the cost of the first.  Picture number 1 is the offending chip.  Picture number 2 is the socket of the first motherboard after it destroyed it (picture taken by ASUS service).  Picture number 3 is the socket of the replacement motherboard ASUS sold me cheap AFTER this I9 destroyed it (wife's picture).  Since it arrive 15 Sept, Amazon says they can't help me.  Intel is thinkimng about what they are going to do.  Bottom line:  I'm out $900 for motherboards and Amazon and ASUS have declined to help any more.  We'll see what Intel does.  I've spent ~15 hours dealing with this: setting up and taking apart a computer that still doesn't work (no motherboard and a MB killer CPU), and support calls.  Moral of my story: Unless you feel lucky, DO NOT buy a motherboard and CPU and count on them working together.  Rather, just pay some integrator to sell you a motherboard, CPU, and memory that have been tested to work together."
10,Unive,Reviewed in the United States on 2 December 2023,1,"Ive switched out PSUs, MOBOs, SSD's. Ive even sent my 4080 on an RMA process with gigabyte trying to understand where all my problems are coming from and at the end of the day it's this CPU. Ive experienced nothing but an awful time with this thing. I regret buying it, I regret spending all the money on my new build when I should have just went with AMD. In a year or so I am going to try to sell off the 4080 and other parts and just chunk this piece of garbage into a landfill. ___ The computer is only stable in power saved mode in the power options. With most games that are intensive, as soon as the CPU is needed, stuff just starts crashing. You literally have to throttle this CPU down to have system stability. The windows battery saver mode if you look at the hidden registry files, it alters the CPU by throttling it down. Resulting in poor performance from what should be a high-end build and it's just sad."
